code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date
1541266,CORDEAU Amelie,CORDEAU A,Amelie CORDEAU,Female,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-10-01
1541268,LOPEZ Caroline,LOPEZ C,Caroline LOPEZ,Female,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2004-01-09
1541270,ADDIS Baptiste,ADDIS B,Baptiste ADDIS,Male,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2006-12-07
1541272,CHIRAULT Thomas,CHIRAULT T,Thomas CHIRAULT,Male,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1997-09-15
1541275,VALLADONT Jean-Charles,VALLADONT JC,Jean-Charles VALLADONT,Male,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1989-03-20
1543012,DORJI Lam,DORJI L,Lam DORJI,Male,Athlete,BHU,Bhutan,Bhutan,Bhutan,Bhutan,BHU,0,0.0,['Archery'],"[""Men's Individual""]",1995-05-18
1543412,ENRIQUEZ Jorge,ENRIQUEZ J,Jorge ENRIQUEZ,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1999-06-24
1543643,ISLAM Md Sagor,ISLAM MS,Md Sagor ISLAM,Male,Athlete,BAN,Bangladesh,Bangladesh,Bangladesh,Bangladesh,BAN,0,0.0,['Archery'],"[""Men's Individual""]",2006-06-05
1546108,BOMMADEVARA Dhiraj,BOMMADEVARA D,Dhiraj BOMMADEVARA,Male,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2001-09-04
1546110,RAI Tarundee,RAI T,Tarundeep RAI,Male,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1984-02-22
1546112,JADHAV Pravin Ramesh,JADHAV PR,Pravin Ramesh JADHAV,Male,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1996-07-06
1546132,KUMARI Deepika,KUMARI D,Deepika KUMARI,Female,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",1994-06-13
1546133,KAUR Bhajan,KAUR B,Bhajan KAUR,Female,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-08-26
1546200,BHAKAT Ankita,BHAKAT A,Ankita BHAKAT,Female,Athlete,IND,India,India,India,India,IND,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1998-06-17
1550037,FRANCO Hugo,FRANCO H,Hugo FRANCO,Male,Athlete,CUB,Cuba,Cuba,Cuba,Cuba,CUB,0,0.0,['Archery'],"[""Men's Individual""]",1992-02-22
1553249,UNRUH Florian,UNRUH F,Florian UNRUH,Male,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1993-06-07
1553257,BAUER Katharina,BAUER K,Katharina BAUER,Female,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",1995-09-01
1553258,KROPPEN Michelle,KROPPEN M,Michelle KROPPEN,Female,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1996-04-19
1553285,SCHWARZ Charline,SCHWARZ C,Charline SCHWARZ,Female,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2001-01-15
1557704,MADAYE Israel,MADAYE I,Israel MADAYE,Male,Athlete,CHA,Chad,Chad,Chad,Chad,CHA,0,0.0,['Archery'],"[""Men's Individual""]",1988-03-23
1560342,YEREMENKO Alexandr,YEREMENKO A,Alexandr YEREMENKO,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2004-07-09
1560668,STRAKA Elisabeth,STRAKA E,Elisabeth STRAKA,Female,Athlete,AUT,Austria,Austria,Austria,Austria,AUT,0,0.0,['Archery'],"[""Women's Individual""]",1999-08-29
1560988,HALL Conor,HALL C,Conor HALL,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1995-09-08
1560989,HALL Tom,HALL T,Tom HALL,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1990-09-17
1560990,HAVERS Megan,HAVERS M,Megs HAVERS,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2007-12-02
1560991,HEALEY Penny,HEALEY P,Penny HEALEY,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-03-07
1561000,PITMAN Bryony,PITMAN B,Bryony PITMAN,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1997-03-13
1561003,WISE Alex,WISE A,Alex WISE,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2000-08-17
1562602,ABDUSATTOROVA Ziyodakhon,ABDUSATTOROVA Z,Ziyodakhon ABDUSATTOROVA,Female,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2001-04-17
1562613,SADIKOV Amirkhon,SADIKOV A,Amirkhon SADIKOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",2003-07-18
1563314,DO Thi Anh Nguyet,NGUYET DTA,Thi Anh Nguyet DO,Female,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2001-01-15
1563324,le Quoc Phong,Phong LQ,Quoc Phong le,Male,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",2000-05-02
1563633,ACHA GONZALEZ Pablo,ACHA GONZALEZ P,Pablo ACHA GONZALEZ,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1996-08-04
1563638,CANALES Elia,CANALES E,Elia CANALES,Female,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2001-06-25
1564628,TANG Chih-Chun,TANG CC,TANG Chih-Chun,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2001-03-16
1564630,TAI Yu-Hsuan,TAI YH,TAI Yu-Hsuan,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2002-11-09
1564631,LIN Zih-Siang,LIN ZS,LIN Zih-Siang,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2001-08-01
1564634,LEI Chien-Ying,LEI CY,LEI Chien-Ying,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1990-04-17
1564635,CHIU Yi-Ching,CHIU YC,CHIU Yi-Ching,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2003-10-16
1564638,LI Tsai-Chi,LI TC,LI Tsai-Chi,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-01-02
1565000,GAZOZ Mete,GAZOZ M,Mete GAZOZ,Male,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",1999-06-08
1565002,TUMER Berkim,TUMER B,Berkim TUMER,Male,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2002-04-30
1565006,YILDIRMIS Abdullah,YILDIRMIS A,Abdullah YILDIRMIS,Male,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2003-11-07
1565024,GOKKIR Elif Berra,GOKKIR EB,Elif Berra GOKKIR,Female,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2007-01-11
1570604,KLEIN Pit,KLEIN P,Pit KLEIN,Male,Athlete,LUX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,LUX,0,0.0,['Archery'],"[""Men's Individual""]",1996-09-12
1571753,MARCHENKO Veronika,MARCHENKO V,Veronika MARCHENKO,Female,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1993-04-03
1571766,USACH Mykhailo,USACH M,Mykhailo USACH,Male,Athlete,UKR,Ukraine,Ukraine,Ukraine,Ukraine,UKR,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1996-11-20
1880735,RIVERA Alondra,RIVERA A,Alondra RIVERA,Female,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,0,0.0,['Archery'],"[""Women's Individual""]",2001-07-19
1887539,TICAS Oscar,TICAS O,Oscar TICAS,Male,Athlete,ESA,El Salvador,El Salvador,El Salvador,El Salvador,ESA,0,0.0,['Archery'],"[""Men's Individual""]",1987-03-28
1888881,BAATARKHUYAG Otgonbold,BAATARKHUYAG O,Otgonbold BAATARKHUYAG,Male,Athlete,MGL,Mongolia,Mongolia,Mongolia,Mongolia,MGL,0,0.0,['Archery'],"[""Men's Individual""]",1996-12-20
1888885,SYLLA Fatoumata,SYLLA F,Fatoumata SYLLA,Female,Athlete,GUI,Guinea,Guinea,Guinea,Guinea,GUI,0,0.0,['Archery'],"[""Women's Individual""]",2001-12-16
1888973,TOLBA Youssof,TOLBA Y,Youssof TOLBA,Male,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",2001-01-30
1889144,ALI Jana,ALI J,Jana ALI,Female,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2005-01-15
1890977,SAITO Fumiya,SAITO F,SAITO Fumiya,Male,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2004-12-01
1890981,NODA Satsuki,NODA S,NODA Satsuki,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2000-05-20
1890985,NAKANISHI Junya,NAKANISHI J,NAKANISHI Junya,Male,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",1999-08-05
1890994,FURUKAWA Takaharu,FURUKAWA T,FURUKAWA Takaharu,Male,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1984-08-09
1893596,MASHAYIKH Syaqiera,MASHAYIKH S,Syaqiera MASHAYIKH,Female,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2000-11-24
1893598,MOHAMAD FAZIL Nurul Azreena,MOHAMAD FAZIL NA,Nurul Azreena MOHAMAD FAZIL,Female,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2004-03-28
1893601,MOHAMAD ZAIRI Ariana Nur Dania,MOHAMAD ZAIRI AND,Ariana Nur Dania MOHAMAD ZAIRI,Female,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-07-27
1894503,HORACKOVA Marie,HORACKOVA M,Marie HORACKOVA,Female,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1997-12-24
1894507,LI Adam,LI A,Adam LI,Male,Athlete,CZE,Czechia,Czechia,Czechia,Czechia,CZE,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1997-08-15
1895399,ANDERSEN Kirstine Danstru,ANDERSEN K,Kirstine DANSTRUP ANDERSEN,Female,Athlete,DEN,Denmark,Denmark,Denmark,Denmark,DEN,0,0.0,['Archery'],"[""Women's Individual""]",1998-04-05
1898162,OLARU Dan,OLARU D,Dan OLARU,Male,Athlete,MDA,Republic of Moldova,Republic of Moldova,Republic of Moldova,Republic of Moldova,MDA,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1996-11-11
1898203,MIRCA Alexandra,MIRCA A,Alexandra MIRCA,Female,Athlete,MDA,Republic of Moldova,Republic of Moldova,Republic of Moldova,Republic of Moldova,MDA,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1993-10-11
1902121,JEON Hunyoung,JEON H,JEON Hunyoung,Female,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",1994-05-29
1902130,KIM Je Deok,KIM JD,KIM Je Deok,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2004-04-12
1902135,KIM Woojin,KIM W,KIM Woojin,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",1992-06-20
1902144,LEE Wooseok,LEE W,LEE Wooseok,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1997-08-07
1902147,LIM Sihyeon,LIM S,LIM Sihyeon,Female,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",2003-06-13
1902148,NAM Suhyeon,NAM S,NAM Suhyeon,Female,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-01-27
1905034,TEKONIEMI Antti,TEKONIEMI A,Antti TEKONIEMI,Male,Athlete,FIN,Finland,Finland,Finland,Finland,FIN,0,0.0,['Archery'],"[""Men's Individual""]",1982-06-27
1909933,ELWALID Rihab,ELWALID R,Rihab ELWALID,Female,Athlete,TUN,Tunisia,Tunisia,Tunisia,Tunisia,TUN,0,0.0,['Archery'],"[""Women's Individual""]",1998-06-14
1911041,JAJARABILLA Mario Damian,JAJARABILLA MD,Mario Damian JAJARABILLA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,0,0.0,['Archery'],"[""Men's Individual""]",1999-01-10
1911467,BARANKOVA Denisa,BARANKOVA D,Denisa BARANKOVA,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,0,0.0,['Archery'],"[""Women's Individual""]",2001-09-07
1913366,KAO Wenchao,KAO W,KAO Wenchao,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2000-11-29
1913367,LI Zhongyuan,LI Z,LI Zhongyuan,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2002-08-19
1913369,WANG Yan,WANG Y,WANG Yan,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2000-02-12
1913372,LI Jiaman,LI J,LI Jiaman,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",1997-08-18
1913380,YANG Xiaolei,YANG X,YANG Xiaolei,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",2000-06-28
1913382,AN Qixuan,AN Q,AN Qixuan,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2000-12-03
1913631,PANGESTU Arif,PANGESTU A,Arif PANGESTU,Male,Athlete,INA,Indonesia,Indonesia,Indonesia,Indonesia,INA,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",2004-03-25
1913851,OCTAVIA Rezza,OCTAVIA R,Rezza OCTAVIA,Female,Athlete,INA,Indonesia,Indonesia,Indonesia,Indonesia,INA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2000-10-25
1913884,KAMAL Syifa Nurafifah,KAMAL SN,Syifa Nurafifah KAMAL,Female,Athlete,INA,Indonesia,Indonesia,Indonesia,Indonesia,INA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",1991-10-01
1913983,CHOIRUNISA Diananda,CHOIRUNISA D,Diananda CHOIRUNISA,Female,Athlete,INA,Indonesia,Indonesia,Indonesia,Indonesia,INA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1997-03-16
1915454,NESPOLI Mauro,NESPOLI M,Mauro NESPOLI,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",1987-11-22
1915455,PAOLI Alessandro,PAOLI A,Alessandro PAOLI,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1999-08-27
1915456,MUSOLESI Federico,MUSOLESI F,Federico MUSOLESI,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1998-10-17
1915461,REBAGLIATI Chiara,REBAGLIATI C,Chiara REBAGLIATI,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1997-01-23
1931124,PAEGLIS Laura,PAEGLIS L,Laura PAEGLIS,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2002-04-02
1931126,BOUKOUVALAS Peter,BOUKOUVALAS P,Peter BOUKOUVALAS,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1998-12-02
1931570,ABDULLIN Ilfat,ABDULLIN I,Ilfat ABDULLIN,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",1998-01-09
1931572,ZHANGBYRBAY Dauletkeldi,ZHANGBYRBAY D,Dauletkeldi ZHANGBYRBAY,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2004-06-02
1932757,PARNAT Reena,PARNAT R,Reena PARNAT,Female,Athlete,EST,Estonia,Estonia,Estonia,Estonia,EST,0,0.0,['Archery'],"[""Women's Individual""]",1993-12-01
1935464,RENDON MARTINEZ Ana,RENDON MARTINEZ A,Ana RENDON MARTINEZ,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1986-03-10
1935642,ARCILA Santiago,ARCILA S,Santiago ARCILA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",1999-12-03
1935644,HERNANDEZ VERA Andres,HERNANDEZ VERA A,Andres HERNANDEZ VERA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2007-09-21
1937678,DROR Roy,DROR R,Roy DROR,Male,Athlete,ISR,Israel,Israel,Israel,Israel,ISR,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",2005-01-23
1937691,MOSHE Mikaella,MOSHE M,Mikaella MOSHE,Female,Athlete,ISR,Israel,Israel,Israel,Israel,ISR,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2003-12-04
1938165,GALLARDO FERRADA Andres,GALLARDO FERRADA A,Andres GALLARDO FERRADA,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0,0.0,['Archery'],"[""Men's Individual""]",2003-08-04
1940869,ROUX Wian,ROUX W,Wian ROUX,Male,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,0,0.0,['Archery'],"[""Men's Individual""]",2002-10-23
1955595,ELLISON Brady,ELLISON B,Brady ELLISON,Male,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1988-10-27
1955599,GNORIEGA Catalina,GNORIEGA C,Catalina GNORIEGA,Female,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2003-03-17
1955601,KAUFHOLD Casey,KAUFHOLD C,Casey KAUFHOLD,Female,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",2004-03-06
1955608,MUCINO Jennifer,MUCINO J,Jennifer MUCINO,Female,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2002-12-18
1958706,SLIACHTICAS CAETANO Ana Luiza,CAETANO,Ana Luiza SLIACHTICAS CAETANO,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2002-11-18
1958717,D'ALMEIDA Marcus,D'ALMEIDA M,Marcus D'ALMEIDA,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1998-01-30
1965102,MYSZOR Wioleta,MYSZOR W,Wioleta MYSZOR,Female,Athlete,POL,Poland,Poland,Poland,Poland,POL,0,0.0,['Archery'],"[""Women's Individual""]",1983-01-19
1971736,CHENIER Virginie,CHENIER V,Virginie CHENIER,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",1994-09-12
1971737,PETERS Eric,PETERS E,Eric PETERS,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1997-05-30
1972344,RAMAZANOVA Yaylagul,RAMAZANOVA Y,Yaylagul RAMAZANOVA,Female,Athlete,AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,AZE,0,0.0,['Archery'],"[""Women's Individual""]",1990-01-18
1973408,ROEFFEN Quinty,ROEFFEN Q,Quinty ROEFFEN,Female,Athlete,NED,Netherlands,Netherlands,Netherlands,Netherlands,NED,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2005-09-08
1973409,van der WINKEL Laura,van der WINKEL L,Laura van der WINKEL,Female,Athlete,NED,Netherlands,Netherlands,Netherlands,Netherlands,NED,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2001-11-15
1973411,SCHLOESSER Gaby,SCHLOESSER G,Gaby SCHLOESSER,Female,Athlete,NED,Netherlands,Netherlands,Netherlands,Netherlands,NED,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1994-02-18
